game_date_est,game_status_text,pts_home,pts_away,home_team_wins,city_home,nickname_home,city_away,nickname_away
2022-12-22,Final,126.0,117.0,1,New Orleans,Pelicans,San Antonio,Spurs
2022-04-13,Final,113.0,103.0,1,New Orleans,Pelicans,San Antonio,Spurs
2022-03-26,Final,103.0,107.0,0,New Orleans,Pelicans,San Antonio,Spurs
2022-02-12,Final,114.0,124.0,0,New Orleans,Pelicans,San Antonio,Spurs
2021-04-24,Final,108.0,110.0,0,New Orleans,Pelicans,San Antonio,Spurs
2020-12-27,Final,98.0,95.0,1,New Orleans,Pelicans,San Antonio,Spurs
2020-12-27,Final,98.0,95.0,1,New Orleans,Pelicans,San Antonio,Spurs
2020-08-09,Final,113.0,122.0,0,New Orleans,Pelicans,San Antonio,Spurs
2020-01-22,Final,117.0,121.0,0,New Orleans,Pelicans,San Antonio,Spurs
2014-02-03,Final,95.0,102.0,0,New Orleans,Pelicans,San Antonio,Spurs
2014-01-13,Final,95.0,101.0,0,New Orleans,Pelicans,San Antonio,Spurs
2013-01-07,Final,95.0,88.0,1,New Orleans,Pelicans,San Antonio,Spurs
2012-10-31,Final,95.0,99.0,0,New Orleans,Pelicans,San Antonio,Spurs
2012-03-24,Final,86.0,89.0,0,New Orleans,Pelicans,San Antonio,Spurs
2012-01-23,Final,102.0,104.0,0,New Orleans,Pelicans,San Antonio,Spurs
2011-01-22,Final,96.0,72.0,1,New Orleans,Pelicans,San Antonio,Spurs
2010-11-28,Final,95.0,109.0,0,New Orleans,Pelicans,San Antonio,Spurs
2010-03-01,Final,92.0,106.0,0,New Orleans,Pelicans,San Antonio,Spurs
2010-01-18,Final,90.0,97.0,0,New Orleans,Pelicans,San Antonio,Spurs
2009-03-29,Final,90.0,86.0,1,New Orleans,Pelicans,San Antonio,Spurs
2008-12-17,Final,90.0,83.0,1,New Orleans,Pelicans,San Antonio,Spurs
2008-05-19,Final,82.0,91.0,0,New Orleans,Pelicans,San Antonio,Spurs
2008-05-13,Final,101.0,79.0,1,New Orleans,Pelicans,San Antonio,Spurs
2008-05-05,Final,102.0,84.0,1,New Orleans,Pelicans,San Antonio,Spurs
2008-05-03,Final,101.0,82.0,1,New Orleans,Pelicans,San Antonio,Spurs
2008-03-12,Final,100.0,75.0,1,New Orleans,Pelicans,San Antonio,Spurs
2007-11-09,Final,85.0,97.0,0,New Orleans,Pelicans,San Antonio,Spurs
2006-12-23,Final,77.0,112.0,0,New Orleans,Pelicans,San Antonio,Spurs
2006-12-14,Final,77.0,103.0,0,New Orleans,Pelicans,San Antonio,Spurs
2006-01-25,Final,68.0,84.0,0,New Orleans,Pelicans,San Antonio,Spurs
2005-12-18,Final,89.0,76.0,1,New Orleans,Pelicans,San Antonio,Spurs
2005-10-20,Final,90.0,97.0,0,New Orleans,Pelicans,San Antonio,Spurs
2005-02-16,Final,78.0,101.0,0,New Orleans,Pelicans,San Antonio,Spurs
2004-12-17,Final,67.0,83.0,0,New Orleans,Pelicans,San Antonio,Spurs
2004-01-09,Final,84.0,94.0,0,New Orleans,Pelicans,San Antonio,Spurs
2019-01-26,Final,114.0,126.0,0,New Orleans,Pelicans,San Antonio,Spurs
2018-11-19,Final,140.0,126.0,1,New Orleans,Pelicans,San Antonio,Spurs
2018-04-11,Final,122.0,98.0,1,New Orleans,Pelicans,San Antonio,Spurs
2017-11-22,Final,107.0,90.0,1,New Orleans,Pelicans,San Antonio,Spurs
2017-03-03,Final,98.0,101.0,0,New Orleans,Pelicans,San Antonio,Spurs
2017-01-27,Final,119.0,103.0,1,New Orleans,Pelicans,San Antonio,Spurs
2016-03-03,Final,86.0,94.0,0,New Orleans,Pelicans,San Antonio,Spurs
2015-11-20,Final,104.0,90.0,1,New Orleans,Pelicans,San Antonio,Spurs
2015-04-15,Final,108.0,103.0,1,New Orleans,Pelicans,San Antonio,Spurs
2014-12-26,Final,97.0,90.0,1,New Orleans,Pelicans,San Antonio,Spurs
2022-10-11,Final,104.0,111.0,0,Utah,Jazz,San Antonio,Spurs
2021-12-17,Final,126.0,128.0,0,Utah,Jazz,San Antonio,Spurs
2021-05-05,Final,126.0,94.0,1,Utah,Jazz,San Antonio,Spurs
